index,Cement(kg/m3),Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3),FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),GUI_prediction_MPa,Pipeline_prediction_MPa,Absolute_difference_MPa
809,248.0,210.12,812.0,853.0,248.0,0.0,0.0,5.0,22.504364597070623,22.504364597070623,0.0
1251,466.4,209.888,1235.0,523.0,58.3,72.9,58.3,5.39,67.65705744308694,67.65705744308694,0.0
1018,278.2,185.5,658.3,731.9,226.644,10.302,0.0,11.333212,50.14753131367154,50.14753131367154,0.0
705,360.0,184.5,1201.5,612.0,90.0,0.0,0.0,2.25,37.818528513803514,37.818528513803514,0.0
597,160.0,180.0,1107.0,665.0,0.0,0.0,240.0,0.0,24.73019574030129,24.73019574030129,0.0
756,489.38,185.45,774.62,861.15,15.4542,10.3028,0.0,11.333014,53.60658692573298,53.60658692573298,0.0
1259,220.0,176.0,881.0,686.0,330.0,0.0,0.0,6.67,38.481649845534264,38.481649845534264,0.0
1068,257.0,216.8,754.0,800.0,102.0,52.0,102.0,4.1,35.88026165870858,35.88026165870858,0.0
978,468.8,185.5,771.6,857.8,15.453,30.906,0.0,11.333498,54.68268506212569,54.68268506212569,0.0
1428,385.0,137.5,840.2,840.2,165.0,0.0,0.0,21.7,52.55412437320979,52.55412437320979,0.0
1065,348.75,200.0,737.0,937.5,0.0,116.25,0.0,3.72,33.78839215906898,33.78839215906898,0.0
1287,290.0,170.0,1035.0,697.0,0.0,0.0,125.0,2.9,44.68642439912259,44.68642439912259,0.0
967,227.5,140.0,1314.2,744.3,70.0,52.5,0.0,3.5,29.046875389535607,29.046875389535607,0.0
310,440.0,181.5,722.0,970.0,82.5,27.5,0.0,3.3,54.61593705929438,54.61593705929438,0.0
570,400.0,170.0,1100.0,640.0,100.0,0.0,0.0,15.0,37.194626294778125,37.194626294778125,0.0
1029,273.175,190.0,754.0,939.0,47.5,11.875,142.5,1.1875,33.975184642812174,33.975184642812174,0.0
1007,324.5,185.5,691.6,768.9,169.983,20.604,0.0,11.331914,54.53914826119121,54.53914826119121,0.0
289,424.0,178.0,822.0,750.0,132.0,0.0,22.0,8.5,59.99036467270176,59.99036467270176,0.0
426,405.0,198.0,861.0,819.0,0.0,45.0,0.0,5.2,60.504606923136436,60.504606923136436,0.0
590,300.0,191.0,875.0,761.0,169.0,0.0,0.0,4.0,32.883973734330326,32.883973734330326,0.0
208,446.0,162.0,967.0,712.0,79.0,0.0,24.0,11.6,53.51566910001509,53.51566910001509,0.0
532,383.0,159.81,1049.0,865.0,0.0,60.91666667,0.0,9.766166667,65.83934708777224,65.83934708777224,0.0
733,158.0,105.0,1115.0,770.0,127.0,0.0,68.0,2.824,40.31901643647228,40.31901643647228,0.0
324,496.0,235.6,720.0,780.0,124.0,0.0,0.0,4.0,45.07292445392256,45.07292445392256,0.0
237,155.2,193.8,879.6,698.5,143.2,0.0,183.9,9.2,32.03453012212812,32.03453012212812,0.0
58,325.18,260.14,810.0,795.0,84.62,0.0,0.0,0.0,25.792654318749626,25.792654318749626,0.0
1155,399.0,159.6,868.0,868.0,0.0,21.0,0.0,2.142,60.55911812014243,60.55911812014243,0.0
534,367.0,159.71,1043.0,860.0,0.0,76.63888889,0.0,9.760055556,66.51573644257994,66.51573644257994,0.0
945,444.0,152.0,1094.0,519.0,0.0,0.0,296.0,8.88,81.16403208763643,81.16403208763643,0.0
693,80.0,163.0,1184.0,684.0,0.0,0.0,320.0,2.85,45.89845004913897,45.89845004913897,0.0
23,260.0,206.7,849.4,785.0,260.0,0.0,0.0,5.72,15.586735619060253,15.586735619060253,0.0
107,442.0,135.2,1146.0,667.0,0.0,78.0,0.0,18.2,80.96204687496112,80.96204687496112,0.0
